"customer_id","customer_code","customer_name","customer_level","customer_type","industry_type","industry","primary_industry","secondary_industry","company_size","established_year","annual_revenue","city","province","address","contact_person","contact_phone","contact_email","is_named_customer","has_contract","created_date","status"
10001,CUST-10001,广州绿野农技技术有限公司,T3,SMB,农业,种植大户,农业,种植大户,小型,2011,193340000,北京市,北京市,北京市北京市,朱项目经理,"18269820594",contact@广州绿野农.com,否,否,"2023-01-01",Active
10002,CUST-10002,西安沃土植保科技有限公司,T2,Enterprise,农业,种植大户,农业,种植大户,中型,2018,70730000,重庆市,重庆市,重庆市重庆市,朱经理,"17786066793",contact@西安沃土植.com,否,是,"2023-01-01",Active
10003,CUST-10003,青岛田园农科有限公司,T2,Enterprise,农业,种植大户,农业,种植大户,小型,2017,13760000,沈阳市,辽宁省,辽宁省沈阳市,宋云,"13489747629",宋云@青岛田园农.com,是,是,"2023-01-01",Active
10004,CUST-10004,上海绿野农业服务有限公司,T3,Enterprise,农业,植保服务,农业,植保服务,大型,2011,480660000,苏州市,江苏省,江苏省苏州市,陈采购主管,"18976198296",contact@上海绿野农.com,否,是,"2023-01-01",Active
10005,CUST-10005,西安惠农农科科技有限公司,T1,Enterprise,农业,种植大户,农业,种植大户,中型,2014,346810000,株洲市,湖南省,湖南省株洲市,任洋洋,"19554340903",任洋洋@西安惠农农.com,是,是,"2023-01-01",Active
10006,CUST-10006,青岛农翼农技股份有限公司,T3,Enterprise,农业,农业合作社,农业,农业合作社,小型,2017,340190000,沈阳市,辽宁省,辽宁省沈阳市,周采购主管,"18229927269",contact@青岛农翼农.com,否,否,"2023-01-01",Active
10007,CUST-10007,长沙沃土农服股份有限公司,T1,Enterprise,农业,植保服务,农业,植保服务,大型,2021,414590000,宁波市,浙江省,浙江省宁波市,陈浩鑫,"13345824373",陈浩鑫@长沙沃土农.com,是,是,"2023-01-01",Active
10008,CUST-10008,南京绿野农资服务有限公司,T1,Enterprise,农业,农业合作社,农业,农业合作社,微型,2013,354390000,济南市,山东省,山东省济南市,张娜,"15876693898",张娜@南京绿野农.com,是,是,"2023-01-01",Active
10009,CUST-10009,长沙农兴农机服务有限公司,T3,Enterprise,农业,农业科技公司,农业,农业科技公司,中型,2011,64520000,西安市,陕西省,陕西省西安市,周部门经理,"18480424119",contact@长沙农兴农.com,否,否,"2023-01-01",Active
10010,CUST-10010,武汉农兴农业科技有限公司,T2,Enterprise,农业,农业科技公司,农业,农业科技公司,小型,2022,72610000,上海市,上海市,上海市上海市,吕颖颖,"15305718272",吕颖颖@武汉农兴农.com,是,是,"2023-01-01",Active
