sales_order_id,sales_order_number,document_date,customer_id,customer_name,line_number,product_id,product_code,product_name,quantity,unit,standard_price,discount_rate,actual_price,subtotal_amount,tax_amount,total_amount,order_status,document_status,transaction_type,sales_department,salesperson,planned_delivery_date,is_urgent,contract_number,project_name,end_customer,quotation_number,notes,created_date,status
SO0000001,SO-202303-00001,2023-03-21,10001,广州绿野农技技术有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,14,台,22999,4.0%,22070.5,308987.02,40168.31,349155.33,已发货,已确认,项目销售,销售一部,贾斌,2023-05-12,否,HT-2023-256,广州绿野农技技术有限公司设备采购项目,广州绿野农技技术有限公司,QT-202303-00001,,2023-03-21,Active
SO0000002,SO-202303-00001,2023-03-21,10001,广州绿野农技技术有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,10,台,45999,6.9%,42812.04,428120.42,55655.65,483776.07,已发货,已确认,项目销售,销售一部,贾斌,2023-05-16,否,HT-2023-256,广州绿野农技技术有限公司设备采购项目,广州绿野农技技术有限公司,QT-202303-00001,,2023-03-21,Active
SO0000003,SO-202303-00001,2023-03-21,10001,广州绿野农技技术有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,18,台,58999,7.6%,54507.35,981132.32,127547.2,1108679.52,已发货,已确认,项目销售,销售一部,贾斌,2023-04-13,否,HT-2023-256,广州绿野农技技术有限公司设备采购项目,广州绿野农技技术有限公司,QT-202303-00001,,2023-03-21,Active
SO0000004,SO-202304-00002,2023-04-24,10001,广州绿野农技技术有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,1,台,45999,0.0%,45999.0,45999.0,5979.87,51978.87,已发货,已确认,直销,销售一部,曹磊,2023-06-23,否,,,广州绿野农技技术有限公司,QT-202304-00574,,2023-04-24,Active
SO0000005,SO-202405-00003,2024-05-09,10001,广州绿野农技技术有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,20,台,45999,9.5%,41634.36,832687.27,108249.34,940936.61,已发货,已确认,项目销售,销售一部,钱进,2024-06-30,否,HT-2024-093,2024年北京市农业项目,广州绿野农技技术有限公司,QT-202405-00003,,2024-05-09,Active
SO0000006,SO-202405-00003,2024-05-09,10001,广州绿野农技技术有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,11,台,22999,4.3%,22012.34,242135.75,31477.65,273613.4,已发货,已确认,项目销售,销售一部,钱进,2024-07-04,否,HT-2024-093,2024年北京市农业项目,广州绿野农技技术有限公司,QT-202405-00003,,2024-05-09,Active
SO0000007,SO-202405-00003,2024-05-09,10001,广州绿野农技技术有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,8,台,58999,0.0%,58999.0,471992.0,61358.96,533350.96,已发货,已确认,项目销售,销售一部,钱进,2024-06-06,否,HT-2024-093,2024年北京市农业项目,广州绿野农技技术有限公司,QT-202405-00003,,2024-05-09,Active
SO0000008,SO-202404-00004,2024-04-30,10002,西安沃土植保科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,5,台,22999,0.0%,22999.0,114995.0,14949.35,129944.35,已取消,已取消,直销,销售一部,袁琳,2024-06-28,否,,,西安沃土植保科技有限公司,QT-202404-00527,,2024-04-30,Active
SO0000009,SO-202302-00005,2023-02-27,10002,西安沃土植保科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,4,台,22999,0.0%,22999.0,91996.0,11959.48,103955.48,已发货,已确认,项目销售,销售一部,周杰,2023-03-16,否,HT-2023-182,2023年重庆市农业项目,西安沃土植保科技有限公司,QT-202302-00389,,2023-02-27,Active
SO0000010,SO-202302-00005,2023-02-27,10002,西安沃土植保科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,9,台,45999,0.0%,45999.0,413991.0,53818.83,467809.83,已发货,已确认,项目销售,销售一部,周杰,2023-04-19,否,HT-2023-182,2023年重庆市农业项目,西安沃土植保科技有限公司,QT-202302-00389,,2023-02-27,Active
SO0000011,SO-202302-00005,2023-02-27,10002,西安沃土植保科技有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,11,台,58999,4.8%,56179.51,617974.62,80336.7,698311.32,已发货,已确认,项目销售,销售一部,周杰,2023-03-19,否,HT-2023-182,2023年重庆市农业项目,西安沃土植保科技有限公司,QT-202302-00389,,2023-02-27,Active
SO0000012,SO-202412-00006,2024-12-15,10002,西安沃土植保科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,11,台,22999,7.6%,21248.46,233733.05,30385.3,264118.35,已发货,已确认,项目销售,销售一部,钱进,2025-02-02,否,HT-2024-486,重庆市种植大户应用项目,西安沃土植保科技有限公司,QT-202412-00517,,2024-12-15,Active
SO0000013,SO-202412-00006,2024-12-15,10002,西安沃土植保科技有限公司,20,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,10,台,58999,6.6%,55095.87,550958.68,71624.63,622583.31,已发货,已确认,项目销售,销售一部,钱进,2025-02-10,否,HT-2024-486,重庆市种植大户应用项目,西安沃土植保科技有限公司,QT-202412-00517,,2024-12-15,Active
SO0000014,SO-202412-00006,2024-12-15,10002,西安沃土植保科技有限公司,30,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,5,台,45999,0.0%,45999.0,229995.0,29899.35,259894.35,已发货,已确认,项目销售,销售一部,钱进,2025-01-14,否,HT-2024-486,重庆市种植大户应用项目,西安沃土植保科技有限公司,QT-202412-00517,,2024-12-15,Active
SO0000015,SO-202405-00007,2024-05-19,10002,西安沃土植保科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,5,台,22999,0.0%,22999.0,114995.0,14949.35,129944.35,已发货,已确认,直销,销售一部,谢文,2024-07-01,是,,,西安沃土植保科技有限公司,QT-202405-00531,,2024-05-19,Active
SO0000016,SO-202405-00007,2024-05-19,10002,西安沃土植保科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,2,台,45999,0.0%,45999.0,91998.0,11959.74,103957.74,已发货,已确认,直销,销售一部,谢文,2024-07-09,是,,,西安沃土植保科技有限公司,QT-202405-00531,,2024-05-19,Active
SO0000017,SO-202305-00008,2023-05-02,10002,西安沃土植保科技有限公司,10,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,11,台,58999,4.5%,56346.08,619806.84,80574.89,700381.72,已发货,已确认,项目销售,销售一部,孙丽,2023-06-28,否,HT-2023-368,2023年重庆市农业项目,西安沃土植保科技有限公司,QT-202305-00008,,2023-05-02,Active
