shipment_id,shipment_number,shipment_date,warehouse_id,warehouse_name,customer_id,customer_code,customer_name,product_id,product_code,product_name,quantity,unit_price,total_amount,consignee,consignee_phone,delivery_address,logistics_provider,tracking_number,estimated_delivery_date,actual_delivery_date,delivery_status,sales_order_number,notes,created_date,status,sales_order_line_number
SH0000001,SH-202305-0001,2023-05-26,WH001,中央成品仓,10151,CUST-10151,南京云仓配送科技有限公司,P0001,UAV-XF-BASIC,旋风基础版整机,116,38369.77,4450893.32,南京云仓配送科技有限公司,13934877544,重庆市重庆市,百世快递,SF20230526194360,2023-05-30,,运输中,SO-202305-6923,,2023-05-26,Active,10
SH0000002,SH-202305-0002,2023-05-26,WH001,中央成品仓,10130,CUST-10130,沈阳华能能源有限公司,P0001,UAV-XF-BASIC,旋风基础版整机,155,38369.77,5947314.35,沈阳华能能源有限公司,13567934946,四川省德阳市,德邦物流,SF20230526537141,2023-05-28,2023-05-28,已签收,SO-202305-5761,,2023-05-26,Active,10
SH0000003,SH-202305-0003,2023-05-06,WH001,中央成品仓,10148,CUST-10148,青岛物流通配送集团有限公司,P0001,UAV-XF-BASIC,旋风基础版整机,90,38369.77,3453279.3,青岛物流通配送集团有限公司,18542017473,山东省烟台市,圆通速递,SF20230506329832,2023-05-10,2023-05-10,已签收,SO-202305-6329,,2023-05-06,Active,10
SH0000004,SH-202305-0004,2023-05-17,WH001,中央成品仓,10109,CUST-10109,大连安控警用装备有限公司,P0001,UAV-XF-BASIC,旋风基础版整机,135,38369.77,5179918.95,大连安控警用装备有限公司,13697351249,重庆市重庆市,德邦物流,SF20230517928267,2023-05-23,2023-05-23,已签收,SO-202305-5887,,2023-05-17,Active,10
SH0000005,SH-202305-0005,2023-05-22,WH001,中央成品仓,10144,CUST-10144,武汉顺丰配送服务有限公司,P0001,UAV-XF-BASIC,旋风基础版整机,101,38369.77,3875346.77,武汉顺丰配送服务有限公司,18032956357,广东省广州市,中通快递,SF20230522939236,2023-05-28,,已发货,SO-202305-8842,,2023-05-22,Active,10
SH0000006,SH-202305-0006,2023-05-11,WH003,配件仓,10002,CUST-10002,西安沃土植保科技有限公司,P0001,UAV-XF-BASIC,旋风基础版整机,95,38369.77,3645128.15,西安沃土植保科技有限公司,18627022886,重庆市重庆市,中通快递,SF20230511175333,2023-05-14,,运输中,SO-202305-7271,客户满意,2023-05-11,Active,10
SH0000007,SH-202305-0007,2023-05-02,WH001,中央成品仓,10227,CUST-10227,杭州太平洋保险财产保险支公司,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,294,35451.48,10422735.12,杭州太平洋保险财产保险支公司,13624376110,辽宁省沈阳市,京东物流,SF20230502562584,2023-05-07,2023-05-07,已签收,SO-202305-2501,,2023-05-02,Active,10
SH0000008,SH-202305-0008,2023-05-03,WH001,中央成品仓,10037,CUST-10037,沈阳地信勘测工程有限公司,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,443,35451.48,15705005.64,沈阳地信勘测工程有限公司,13536652431,福建省福州市,顺丰速运,SF20230503976322,2023-05-05,2023-05-05,已签收,SO-202305-2868,,2023-05-03,Active,10
SH0000009,SH-202305-0009,2023-05-25,WH003,配件仓,10113,CUST-10113,天津安邦安防服务有限公司,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,292,35451.48,10351832.16,天津安邦安防服务有限公司,18082461914,上海市上海市,百世快递,SF20230525702644,2023-05-31,,运输中,SO-202305-5279,,2023-05-25,Active,10
SH0000010,SH-202305-0010,2023-05-09,WH001,中央成品仓,10221,CUST-10221,深圳景区管理文化旅游有限公司,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,452,35451.48,16024068.96,深圳景区管理文化旅游有限公司,13621769629,陕西省西安市,申通快递,SF20230509245065,2023-05-14,2023-05-14,已签收,SO-202305-2786,,2023-05-09,Active,10
